year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,Total
1896,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1897,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3
1898,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1899,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,13
1900,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
1901,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,11
1902,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
1903,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1904,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1905,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
1906,1,0,1,0,1,1,0,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,25
1907,0,0,0,0,1,0,0,2,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
1908,0,0,1,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13
1909,1,0,1,0,1,5,1,17,11,1,0,0,0,2,1,0,2,0,1,0,1,0,0,1,0,0,3,0,49
1910,0,0,2,0,1,4,2,26,23,1,2,0,0,3,2,1,2,1,1,0,1,0,0,3,0,0,0,1,76
1911,1,0,2,0,1,6,1,16,53,0,2,0,0,2,0,0,0,0,0,0,4,1,0,0,0,1,3,2,95
1912,2,0,6,1,1,12,5,26,119,0,3,0,0,4,3,0,0,3,0,0,11,0,0,0,0,11,5,2,214
1913,4,0,15,0,4,29,37,37,255,0,6,0,0,15,3,2,1,5,0,0,20,1,0,2,0,12,7,9,464
1914,16,1,40,0,6,69,57,57,536,2,6,0,0,21,5,0,0,14,0,0,34,0,0,1,0,16,27,15,923
1915,24,0,55,0,6,132,86,63,763,1,8,0,0,27,6,1,0,37,0,0,66,4,0,7,0,8,39,29,1362
1916,42,0,40,1,4,182,122,47,1111,1,13,0,0,22,13,1,0,32,0,0,105,8,0,4,0,10,33,41,1832
1917,44,0,51,1,10,219,140,25,1102,6,23,0,0,25,12,2,1,41,0,0,104,2,0,5,0,9,48,77,1947
1918,42,0,44,3,10,305,96,69,1022,5,14,0,0,17,6,0,0,47,0,0,146,5,0,3,0,14,73,89,2010
1919,61,0,79,2,7,340,148,71,1030,0,10,0,0,22,15,1,1,36,1,0,150,4,0,14,0,13,27,88,2120
1920,55,1,97,3,5,251,148,69,908,2,10,0,0,15,25,1,2,56,1,0,99,5,0,13,0,8,10,82,1866
1921,44,0,79,1,2,231,79,52,667,6,21,0,0,14,12,0,2,62,0,0,128,6,0,4,0,8,5,102,1525
1922,49,0,70,1,7,204,68,50,643,9,11,0,0,24,6,0,2,26,0,0,159,2,0,13,0,12,6,129,1491
1923,43,0,72,3,10,182,57,87,612,5,17,0,0,19,8,1,0,19,0,0,122,1,0,12,0,8,10,105,1393
1924,55,0,56,2,3,154,51,37,613,6,10,0,0,18,6,0,3,22,0,0,120,3,0,8,0,8,10,176,1361
1925,87,0,96,9,4,220,47,87,718,8,13,0,0,18,7,0,2,13,0,0,152,6,0,15,0,9,11,229,1751
1926,122,0,108,3,9,265,57,85,903,4,8,0,0,19,7,1,1,20,0,0,209,0,1,9,0,17,24,178,2050
1927,87,0,76,2,5,285,66,122,991,9,6,1,0,19,9,2,3,18,0,0,202,2,0,14,0,14,34,144,2111
1928,91,0,82,1,9,243,54,112,1033,9,4,2,0,33,7,5,3,23,0,1,197,0,0,13,0,18,33,139,2112
1929,73,0,90,0,6,198,89,102,994,6,1,1,0,23,6,31,56,40,1,0,189,5,0,17,0,19,19,91,2057
1930,66,0,62,4,5,294,106,133,875,12,12,0,0,15,4,36,136,32,0,0,252,2,0,8,0,9,25,79,2167
1931,53,0,50,4,8,345,131,75,958,11,9,4,0,10,13,7,80,39,1,0,204,5,0,8,0,17,26,89,2147
1932,63,0,59,3,5,375,142,243,868,8,11,4,0,18,22,10,69,62,0,0,199,7,1,28,0,16,24,105,2342
1933,64,0,63,1,7,408,117,235,830,13,17,1,0,14,17,29,89,54,1,0,227,6,0,12,0,16,29,55,2305
1934,46,1,77,1,14,432,120,87,837,14,12,1,0,28,11,43,113,70,0,0,281,7,0,11,0,16,21,63,2306
1935,99,0,90,4,10,451,131,70,821,19,22,1,0,25,21,31,126,63,5,0,265,11,0,9,0,16,21,130,2441
1936,87,1,99,4,13,504,181,228,856,37,13,3,0,34,17,33,125,62,2,0,248,10,0,15,0,22,27,128,2749
1937,106,0,106,4,14,503,171,201,838,32,15,9,0,35,8,55,114,53,2,0,294,5,0,18,0,22,44,123,2772
1938,98,0,116,3,17,481,165,84,859,33,9,3,0,36,4,48,109,63,2,0,258,6,0,19,0,17,62,102,2594
1939,108,1,123,1,20,429,172,88,790,41,17,10,0,34,23,33,90,64,0,0,205,7,0,10,0,21,56,116,2459
1940,75,0,110,5,26,434,108,56,690,41,27,8,0,30,17,41,92,54,1,0,185,8,0,11,0,18,47,125,2209
1941,63,0,94,6,14,459,98,52,572,33,18,16,0,31,15,42,89,63,0,0,190,6,0,12,0,20,57,121,2071
1942,72,0,90,1,19,411,107,66,572,33,10,19,0,33,17,33,64,61,0,0,175,4,0,11,0,38,121,118,2075
1943,54,0,66,3,16,358,68,57,507,25,15,7,0,30,16,56,79,50,0,0,166,4,1,4,0,36,134,98,1850
1944,51,0,60,14,17,291,76,39,451,31,25,26,0,30,22,72,86,55,0,0,172,6,0,3,0,18,108,102,1755
